uf,nome_cientifico,subespecie,nome_cientifico_subsp,categoria,subsp_tf
PA,Abapeba echinus,NA,Abapeba echinus,VU,FALSE
ES,Abrawayaomys ruschii,NA,Abrawayaomys ruschii,CR,FALSE
MG,Abrawayaomys ruschii,NA,Abrawayaomys ruschii,VU,FALSE
BA,Aburria jacutinga,NA,Aburria jacutinga,EW,FALSE
Brasil,Aburria jacutinga,NA,Aburria jacutinga,EN,FALSE
MG,Aburria jacutinga,NA,Aburria jacutinga,CR,FALSE
SP,Aburria jacutinga,NA,Aburria jacutinga,CR,FALSE
RJ,Acanthagrion taxaense,NA,Acanthagrion taxaense,EW,FALSE
MG,Accipiter poliogaster,NA,Accipiter poliogaster,CR,FALSE
RJ,Accipiter poliogaster,NA,Accipiter poliogaster,VU,FALSE
SP,Accipiter poliogaster,NA,Accipiter poliogaster,VU,FALSE
ES,Acentronichthys leptos,NA,Acentronichthys leptos,EN,FALSE
RJ,Acentronichthys leptos,NA,Acentronichthys leptos,VU,FALSE
SP,Acherontides eleonorae,NA,Acherontides eleonorae,EN,FALSE
BA,Acratosaura spinosa,NA,Acratosaura spinosa,EN,FALSE
BA,Acrobatornis fonsecai,NA,Acrobatornis fonsecai,VU,FALSE
Brasil,Acrobatornis fonsecai,NA,Acrobatornis fonsecai,VU,FALSE
MG,Acrobatornis fonsecai,NA,Acrobatornis fonsecai,CR,FALSE
SP,Actinote morio,NA,Actinote morio,CR,FALSE
MG,Actinote quadra,NA,Actinote quadra,EN,FALSE
SP,Actinote quadra,NA,Actinote quadra,VU,FALSE
SP,Actinote zikani,NA,Actinote zikani,CR,FALSE
SP,Adelomelon beckii,NA,Adelomelon beckii,VU,FALSE
Brasil,Adelophryne maranguapensis,NA,Adelophryne maranguapensis,VU,FALSE
SP,Adelopoma paulistanum,NA,Adelopoma paulistanum,EN,FALSE
SP,Aegla cavernicola,NA,Aegla cavernicola,CR,FALSE
SP,Aegla charon,NA,Aegla charon,CR,FALSE
SP,Aegla franca,NA,Aegla franca,CR,FALSE
SP,Aegla japi,NA,Aegla japi,VU,FALSE
SP,Aegla jaragua,NA,Aegla jaragua,CR,FALSE
SP,Aegla jundiai,NA,Aegla jundiai,VU,FALSE
SP,Aegla leptochela,NA,Aegla leptochela,CR,FALSE
SP,Aegla microphthalma,NA,Aegla microphthalma,CR,FALSE
SP,Aegla paulensis,NA,Aegla paulensis,VU,FALSE
SP,Aegla perobae,NA,Aegla perobae,CR,FALSE
SP,Aegla rosanae,NA,Aegla rosanae,CR,FALSE
SP,Aegla strinatii,NA,Aegla strinatii,VU,FALSE
SP,Aegla vanini,NA,Aegla vanini,VU,FALSE
PA,Agacephala margaridae,NA,Agacephala margaridae,VU,FALSE
Brasil,Agalychnis granulosa,NA,Agalychnis granulosa,VU,FALSE
SP,Agelaia centralis,NA,Agelaia centralis,CR,FALSE
PA,Agrias amydon,NA,Agrias amydon,EN,FALSE
PA,Agrias claudina,NA,Agrias claudina,EN,FALSE
SP,Agrias claudina,godmani,Agrias claudina godmani,EN,TRUE
PA,Agrias hewitsonius,NA,Agrias hewitsonius,EN,FALSE
PA,Agrias narcissus,NA,Agrias narcissus,EN,FALSE
PA,Aguarunichthys tocantinsensis,NA,Aguarunichthys tocantinsensis,VU,FALSE
Brasil,Akodon mystax,NA,Akodon mystax,VU,FALSE
Brasil,Alectrurus tricolor,NA,Alectrurus tricolor,VU,FALSE
MG,Alectrurus tricolor,NA,Alectrurus tricolor,EN,FALSE
SP,Alectrurus tricolor,NA,Alectrurus tricolor,CR,FALSE
BA,Alexandresaurus camacan,NA,Alexandresaurus camacan,VU,FALSE
SP,Aliger costatus,NA,Aliger costatus,VU,FALSE
SP,Alipiopsitta xanthops,NA,Alipiopsitta xanthops,VU,FALSE
Brasil,Allobates brunneus,NA,Allobates brunneus,CR,FALSE
Brasil,Allobates goianus,NA,Allobates goianus,EN,FALSE
Brasil,Allobates olfersioides,NA,Allobates olfersioides,VU,FALSE
SP,Alopias vulpinus,NA,Alopias vulpinus,VU,FALSE
Brasil,Alouatta belzebul,NA,Alouatta belzebul,VU,FALSE
BA,Alouatta caraya,NA,Alouatta caraya,EN,FALSE
SP,Alouatta caraya,NA,Alouatta caraya,EN,FALSE
Brasil,Alouatta discolor,NA,Alouatta discolor,VU,FALSE
BA,Alouatta guariba,guariba,Alouatta guariba guariba,CR,TRUE
Brasil,Alouatta guariba,clamitans,Alouatta guariba clamitans,VU,TRUE
Brasil,Alouatta guariba,guariba,Alouatta guariba guariba,CR,TRUE
MG,Alouatta guariba,clamitans,Alouatta guariba clamitans,VU,TRUE
MG,Alouatta guariba,guariba,Alouatta guariba guariba,CR,TRUE
SP,Alouatta guariba,clamitans,Alouatta guariba clamitans,EN,TRUE
Brasil,Alouatta ululata,NA,Alouatta ululata,EN,FALSE
Brasil,Amadonastur lacernulatus,NA,Amadonastur lacernulatus,VU,FALSE
SP,Amadonastur lacernulatus,NA,Amadonastur lacernulatus,VU,FALSE
MG,Amaurospiza moesta,NA,Amaurospiza moesta,VU,FALSE
RJ,Amaurospiza moesta,NA,Amaurospiza moesta,VU,FALSE
SP,Amaurospiza moesta,NA,Amaurospiza moesta,VU,FALSE
SP,Amazona brasiliensis,NA,Amazona brasiliensis,VU,FALSE
BA,Amazona farinosa,NA,Amazona farinosa,VU,FALSE
MG,Amazona farinosa,NA,Amazona farinosa,CR,FALSE
RJ,Amazona farinosa,NA,Amazona farinosa,VU,FALSE
SP,Amazona farinosa,NA,Amazona farinosa,CR,FALSE
PA,Amazona ochrocephala,xantholaema,Amazona ochrocephala xantholaema,VU,TRUE
Brasil,Amazona pretrei,NA,Amazona pretrei,VU,FALSE
BA,Amazona rhodocorytha,NA,Amazona rhodocorytha,EN,FALSE
Brasil,Amazona rhodocorytha,NA,Amazona rhodocorytha,VU,FALSE
ES,Amazona rhodocorytha,NA,Amazona rhodocorytha,CR,FALSE
MG,Amazona rhodocorytha,NA,Amazona rhodocorytha,EN,FALSE
RJ,Amazona rhodocorytha,NA,Amazona rhodocorytha,VU,FALSE
BA,Amazona vinacea,NA,Amazona vinacea,CR,FALSE
Brasil,Amazona vinacea,NA,Amazona vinacea,VU,FALSE
ES,Amazona vinacea,NA,Amazona vinacea,CR,FALSE
MG,Amazona vinacea,NA,Amazona vinacea,VU,FALSE
RJ,Amazona vinacea,NA,Amazona vinacea,VU,FALSE
SP,Amazona vinacea,NA,Amazona vinacea,CR,FALSE
Brasil,Ameiva parecis,NA,Ameiva parecis,EN,FALSE
BA,Ameivula abaetensis,NA,Ameivula abaetensis,EN,FALSE
Brasil,Ameivula abaetensis,NA,Ameivula abaetensis,EN,FALSE
BA,Ameivula cyanura,NA,Ameivula cyanura,EN,FALSE
Brasil,Ameivula littoralis,NA,Ameivula littoralis,EN,FALSE
BA,Ameivula mumbuca,NA,Ameivula mumbuca,VU,FALSE
BA,Ameivula nativo,NA,Ameivula nativo,EN,FALSE
Brasil,Ameivula nativo,NA,Ameivula nativo,EN,FALSE
BA,Ameivula sp.n.1,NA,Ameivula sp.n.1,CR,FALSE
Brasil,Amphisbaena arda,NA,Amphisbaena arda,EN,FALSE
BA,Amphisbaena frontalis,NA,Amphisbaena frontalis,VU,FALSE
Brasil,Amphisbaena frontalis,NA,Amphisbaena frontalis,EN,FALSE
BA,Amphisbaena hastata,NA,Amphisbaena hastata,VU,FALSE
BA,Amphisbaena nigricauda,NA,Amphisbaena nigricauda,EN,FALSE
Brasil,Amphisbaena nigricauda,NA,Amphisbaena nigricauda,EN,FALSE
SP,Amphisbaena sanctaeritae,NA,Amphisbaena sanctaeritae,VU,FALSE
Brasil,Amphisbaena supernumeraria,NA,Amphisbaena supernumeraria,EN,FALSE
Brasil,Amphisbaena uroxena,NA,Amphisbaena uroxena,EN,FALSE
SP,Anacroneuria iporanga,NA,Anacroneuria iporanga,EN,FALSE
PA,Anapis discoidalis,NA,Anapis discoidalis,VU,FALSE
SP,Angiopolybia pallens,NA,Angiopolybia pallens,VU,FALSE
RJ,Anhinga anhinga,NA,Anhinga anhinga,VU,FALSE
SP,Anillidris bruchi,NA,Anillidris bruchi,VU,FALSE
PA,Anodontites elongatus,NA,Anodontites elongatus,VU,FALSE
PA,Anodontites ensiformis,NA,Anodontites ensiformis,VU,FALSE
PA,Anodontites soleniformis,NA,Anodontites soleniformis,VU,FALSE
SP,Anodontites soleniformis,NA,Anodontites soleniformis,VU,FALSE
SP,Anodontites tenebricosus,NA,Anodontites tenebricosus,VU,FALSE
PA,Anodontites trapesialis,NA,Anodontites trapesialis,VU,FALSE
SP,Anodontites trapesialis,NA,Anodontites trapesialis,VU,FALSE
SP,Anodontites trapezeus,NA,Anodontites trapezeus,VU,FALSE
BA,Anodorhynchus hyacinthinus,NA,Anodorhynchus hyacinthinus,EN,FALSE
MG,Anodorhynchus hyacinthinus,NA,Anodorhynchus hyacinthinus,CR,FALSE
PA,Anodorhynchus hyacinthinus,NA,Anodorhynchus hyacinthinus,VU,FALSE
BA,Anodorhynchus leari,NA,Anodorhynchus leari,EN,FALSE
