uf,nome_cientifico,subespecie,nome_cientifico_subsp,categoria,subsp_tf,sinonimo_ou_erro
PA,Abapeba echinus,NA,Abapeba echinus,VU,FALSE,NA
ES,Abrawayaomys ruschii,NA,Abrawayaomys ruschii,CR,FALSE,NA
MG,Abrawayaomys ruschii,NA,Abrawayaomys ruschii,VU,FALSE,NA
BA,Aburria jacutinga,NA,Aburria jacutinga,EW,FALSE,NA
Brasil,Aburria jacutinga,NA,Aburria jacutinga,EN,FALSE,NA
MG,Aburria jacutinga,NA,Aburria jacutinga,CR,FALSE,NA
SC,Aburria jacutinga,NA,Aburria jacutinga,CR,FALSE,NA
SP,Aburria jacutinga,NA,Aburria jacutinga,CR,FALSE,NA
RJ,Acanthagrion taxaense,NA,Acanthagrion taxaense,EW,FALSE,NA
SC,Acanthostichus flexuosus,NA,Acanthostichus flexuosus,EN,FALSE,NA
MG,Accipiter poliogaster,NA,Accipiter poliogaster,CR,FALSE,NA
RJ,Accipiter poliogaster,NA,Accipiter poliogaster,VU,FALSE,NA
SC,Accipiter poliogaster,NA,Accipiter poliogaster,CR,FALSE,NA
SP,Accipiter poliogaster,NA,Accipiter poliogaster,VU,FALSE,NA
SC,Accipiter superciliosus,NA,Accipiter superciliosus,VU,FALSE,NA
ES,Acentronichthys leptos,NA,Acentronichthys leptos,EN,FALSE,NA
RJ,Acentronichthys leptos,NA,Acentronichthys leptos,VU,FALSE,NA
SP,Acherontides eleonorae,NA,Acherontides eleonorae,EN,FALSE,NA
BA,Acratosaura spinosa,NA,Acratosaura spinosa,EN,FALSE,NA
BA,Acrobatornis fonsecai,NA,Acrobatornis fonsecai,VU,FALSE,NA
Brasil,Acrobatornis fonsecai,NA,Acrobatornis fonsecai,VU,FALSE,NA
MG,Acrobatornis fonsecai,NA,Acrobatornis fonsecai,CR,FALSE,NA
SP,Actinote morio,NA,Actinote morio,CR,FALSE,NA
MG,Actinote quadra,NA,Actinote quadra,EN,FALSE,NA
SP,Actinote quadra,NA,Actinote quadra,VU,FALSE,NA
SP,Actinote zikani,NA,Actinote zikani,CR,FALSE,NA
SP,Adelomelon beckii,NA,Adelomelon beckii,VU,FALSE,NA
Brasil,Adelophryne maranguapensis,NA,Adelophryne maranguapensis,VU,FALSE,NA
SP,Adelopoma paulistanum,NA,Adelopoma paulistanum,EN,FALSE,NA
SP,Aegla cavernicola,NA,Aegla cavernicola,CR,FALSE,NA
SP,Aegla charon,NA,Aegla charon,CR,FALSE,NA
SP,Aegla franca,NA,Aegla franca,CR,FALSE,NA
SP,Aegla japi,NA,Aegla japi,VU,FALSE,NA
SP,Aegla jaragua,NA,Aegla jaragua,CR,FALSE,NA
SP,Aegla jundiai,NA,Aegla jundiai,VU,FALSE,NA
SP,Aegla leptochela,NA,Aegla leptochela,CR,FALSE,NA
SP,Aegla microphthalma,NA,Aegla microphthalma,CR,FALSE,NA
SP,Aegla paulensis,NA,Aegla paulensis,VU,FALSE,NA
SP,Aegla perobae,NA,Aegla perobae,CR,FALSE,NA
SP,Aegla rosanae,NA,Aegla rosanae,CR,FALSE,NA
SP,Aegla strinatii,NA,Aegla strinatii,VU,FALSE,NA
SP,Aegla vanini,NA,Aegla vanini,VU,FALSE,NA
PA,Agacephala margaridae,NA,Agacephala margaridae,VU,FALSE,NA
Brasil,Agalychnis granulosa,NA,Agalychnis granulosa,VU,FALSE,NA
SP,Agelaia centralis,NA,Agelaia centralis,CR,FALSE,NA
PA,Agrias amydon,NA,Agrias amydon,EN,FALSE,NA
PA,Agrias claudina,NA,Agrias claudina,EN,FALSE,NA
SP,Agrias claudina,godmani,Agrias claudina godmani,EN,TRUE,NA
PA,Agrias hewitsonius,NA,Agrias hewitsonius,EN,FALSE,NA
PA,Agrias narcissus,NA,Agrias narcissus,EN,FALSE,NA
PA,Aguarunichthys tocantinsensis,NA,Aguarunichthys tocantinsensis,VU,FALSE,NA
Brasil,Akodon mystax,NA,Akodon mystax,VU,FALSE,NA
Brasil,Alectrurus tricolor,NA,Alectrurus tricolor,VU,FALSE,NA
MG,Alectrurus tricolor,NA,Alectrurus tricolor,EN,FALSE,NA
SP,Alectrurus tricolor,NA,Alectrurus tricolor,CR,FALSE,NA
BA,Alexandresaurus camacan,NA,Alexandresaurus camacan,VU,FALSE,NA
SP,Aliger costatus,NA,Aliger costatus,VU,FALSE,NA
SP,Alipiopsitta xanthops,NA,Alipiopsitta xanthops,VU,FALSE,NA
Brasil,Allobates brunneus,NA,Allobates brunneus,CR,FALSE,NA
Brasil,Allobates goianus,NA,Allobates goianus,EN,FALSE,NA
Brasil,Allobates olfersioides,NA,Allobates olfersioides,VU,FALSE,NA
SC,Alopias superciliosus,NA,Alopias superciliosus,VU,FALSE,NA
SP,Alopias vulpinus,NA,Alopias vulpinus,VU,FALSE,NA
Brasil,Alouatta belzebul,NA,Alouatta belzebul,VU,FALSE,NA
BA,Alouatta caraya,NA,Alouatta caraya,EN,FALSE,NA
SC,Alouatta caraya,NA,Alouatta caraya,CR,FALSE,NA
SP,Alouatta caraya,NA,Alouatta caraya,EN,FALSE,NA
SC,Alouatta clamitans,NA,Alouatta clamitans,VU,FALSE,NA
Brasil,Alouatta discolor,NA,Alouatta discolor,VU,FALSE,NA
BA,Alouatta guariba,guariba,Alouatta guariba guariba,CR,TRUE,NA
Brasil,Alouatta guariba,clamitans,Alouatta guariba clamitans,VU,TRUE,NA
Brasil,Alouatta guariba,guariba,Alouatta guariba guariba,CR,TRUE,NA
MG,Alouatta guariba,clamitans,Alouatta guariba clamitans,VU,TRUE,NA
MG,Alouatta guariba,guariba,Alouatta guariba guariba,CR,TRUE,NA
SP,Alouatta guariba,clamitans,Alouatta guariba clamitans,EN,TRUE,NA
Brasil,Alouatta ululata,NA,Alouatta ululata,EN,FALSE,NA
Brasil,Amadonastur lacernulatus,NA,Amadonastur lacernulatus,VU,FALSE,Leucopternis lacernulatus, Leucopternis lacernulata
 Amadonastur lacernulatus,,,,,NA,NA
SP,Amadonastur lacernulatus,NA,Amadonastur lacernulatus,VU,FALSE,Leucopternis lacernulatus, Leucopternis lacernulata
 Amadonastur lacernulatus,,,,,NA,NA
MG,Amaurospiza moesta,NA,Amaurospiza moesta,VU,FALSE,NA
RJ,Amaurospiza moesta,NA,Amaurospiza moesta,VU,FALSE,NA
SP,Amaurospiza moesta,NA,Amaurospiza moesta,VU,FALSE,NA
SC,Amazona brasiliensis,NA,Amazona brasiliensis,CR,FALSE,NA
SP,Amazona brasiliensis,NA,Amazona brasiliensis,VU,FALSE,NA
BA,Amazona farinosa,NA,Amazona farinosa,VU,FALSE,NA
MG,Amazona farinosa,NA,Amazona farinosa,CR,FALSE,NA
RJ,Amazona farinosa,NA,Amazona farinosa,VU,FALSE,NA
SP,Amazona farinosa,NA,Amazona farinosa,CR,FALSE,NA
PA,Amazona ochrocephala,xantholaema,Amazona ochrocephala xantholaema,VU,TRUE,NA
Brasil,Amazona pretrei,NA,Amazona pretrei,VU,FALSE,NA
SC,Amazona pretrei,NA,Amazona pretrei,EN,FALSE,NA
BA,Amazona rhodocorytha,NA,Amazona rhodocorytha,EN,FALSE,NA
Brasil,Amazona rhodocorytha,NA,Amazona rhodocorytha,VU,FALSE,NA
ES,Amazona rhodocorytha,NA,Amazona rhodocorytha,CR,FALSE,NA
MG,Amazona rhodocorytha,NA,Amazona rhodocorytha,EN,FALSE,NA
RJ,Amazona rhodocorytha,NA,Amazona rhodocorytha,VU,FALSE,NA
BA,Amazona vinacea,NA,Amazona vinacea,CR,FALSE,NA
Brasil,Amazona vinacea,NA,Amazona vinacea,VU,FALSE,NA
ES,Amazona vinacea,NA,Amazona vinacea,CR,FALSE,NA
MG,Amazona vinacea,NA,Amazona vinacea,VU,FALSE,NA
RJ,Amazona vinacea,NA,Amazona vinacea,VU,FALSE,NA
SC,Amazona vinacea,NA,Amazona vinacea,EN,FALSE,NA
SP,Amazona vinacea,NA,Amazona vinacea,CR,FALSE,NA
Brasil,Ameiva parecis,NA,Ameiva parecis,EN,FALSE,NA
BA,Ameivula abaetensis,NA,Ameivula abaetensis,EN,FALSE,NA
Brasil,Ameivula abaetensis,NA,Ameivula abaetensis,EN,FALSE,NA
BA,Ameivula cyanura,NA,Ameivula cyanura,EN,FALSE,NA
Brasil,Ameivula littoralis,NA,Ameivula littoralis,EN,FALSE,NA
BA,Ameivula mumbuca,NA,Ameivula mumbuca,VU,FALSE,NA
BA,Ameivula nativo,NA,Ameivula nativo,EN,FALSE,NA
Brasil,Ameivula nativo,NA,Ameivula nativo,EN,FALSE,NA
BA,Ameivula sp.n.1,NA,Ameivula sp.n.1,CR,FALSE,NA
Brasil,Amphisbaena arda,NA,Amphisbaena arda,EN,FALSE,NA
BA,Amphisbaena frontalis,NA,Amphisbaena frontalis,VU,FALSE,NA
Brasil,Amphisbaena frontalis,NA,Amphisbaena frontalis,EN,FALSE,NA
BA,Amphisbaena hastata,NA,Amphisbaena hastata,VU,FALSE,NA
BA,Amphisbaena nigricauda,NA,Amphisbaena nigricauda,EN,FALSE,NA
Brasil,Amphisbaena nigricauda,NA,Amphisbaena nigricauda,EN,FALSE,NA
SP,Amphisbaena sanctaeritae,NA,Amphisbaena sanctaeritae,VU,FALSE,NA
Brasil,Amphisbaena supernumeraria,NA,Amphisbaena supernumeraria,EN,FALSE,NA
Brasil,Amphisbaena uroxena,NA,Amphisbaena uroxena,EN,FALSE,NA
SP,Anacroneuria iporanga,NA,Anacroneuria iporanga,EN,FALSE,NA
PA,Anapis discoidalis,NA,Anapis discoidalis,VU,FALSE,NA
SP,Angiopolybia pallens,NA,Angiopolybia pallens,VU,FALSE,NA
RJ,Anhinga anhinga,NA,Anhinga anhinga,VU,FALSE,NA
SP,Anillidris bruchi,NA,Anillidris bruchi,VU,FALSE,NA
PA,Anodontites elongatus,NA,Anodontites elongatus,VU,FALSE,NA
PA,Anodontites ensiformis,NA,Anodontites ensiformis,VU,FALSE,NA
PA,Anodontites soleniformis,NA,Anodontites soleniformis,VU,FALSE,NA
SP,Anodontites soleniformis,NA,Anodontites soleniformis,VU,FALSE,NA
SP,Anodontites tenebricosus,NA,Anodontites tenebricosus,VU,FALSE,NA
PA,Anodontites trapesialis,NA,Anodontites trapesialis,VU,FALSE,NA
SP,Anodontites trapesialis,NA,Anodontites trapesialis,VU,FALSE,NA
SP,Anodontites trapezeus,NA,Anodontites trapezeus,VU,FALSE,NA
BA,Anodorhynchus hyacinthinus,NA,Anodorhynchus hyacinthinus,EN,FALSE,NA
MG,Anodorhynchus hyacinthinus,NA,Anodorhynchus hyacinthinus,CR,FALSE,NA
PA,Anodorhynchus hyacinthinus,NA,Anodorhynchus hyacinthinus,VU,FALSE,NA
BA,Anodorhynchus leari,NA,Anodorhynchus leari,EN,FALSE,NA
Brasil,Anodorhynchus leari,NA,Anodorhynchus leari,EN,FALSE,NA
SP,Anolis meridionalis,NA,Anolis meridionalis,EN,FALSE,NA
PA,Anolis nitens,brasiliensis,Anolis nitens brasiliensis,VU,TRUE,NA
SP,Anolis punctatus,NA,Anolis punctatus,VU,FALSE,NA
BA,Anotosaura collaris,NA,Anotosaura collaris,CR,FALSE,NA
Brasil,Anthus nattereri,NA,Anthus nattereri,VU,FALSE,NA
MG,Anthus nattereri,NA,Anthus nattereri,EN,FALSE,NA
SC,Anthus nattereri,NA,Anthus nattereri,EN,FALSE,NA
SP,Anthus nattereri,NA,Anthus nattereri,EW,FALSE,NA
Brasil,Antilophia bokermanni,NA,Antilophia bokermanni,CR,FALSE,NA
SP,Antrostomus sericocaudatus,sericocaudatus,Antrostomus sericocaudatus sericocaudatus,CR,TRUE,NA
